{'loss': 1.1175, 'learning_rate': 1.9255251147443646e-05, 'epoch': 0.45}
{'loss': 1.0349, 'learning_rate': 1.924514493423864e-05, 'epoch': 0.45}
{'loss': 1.0738, 'learning_rate': 1.9234973300600074e-05, 'epoch': 0.46}
{'loss': 1.0682, 'learning_rate': 1.92247363185044e-05, 'epoch': 0.46}
{'loss': 1.1209, 'learning_rate': 1.9214434060390484e-05, 'epoch': 0.46}
{'loss': 1.0884, 'learning_rate': 1.9204066599159094e-05, 'epoch': 0.46}
{'loss': 1.103, 'learning_rate': 1.9193634008172396e-05, 'epoch': 0.47}
{'loss': 1.0161, 'learning_rate': 1.9183136361253417e-05, 'epoch': 0.47}
{'loss': 1.0576, 'learning_rate': 1.917257373268554e-05, 'epoch': 0.47}
{'loss': 1.0631, 'learning_rate': 1.916194619721196e-05, 'epoch': 0.47}
{'loss': 1.0548, 'learning_rate': 1.915125383003518e-05, 'epoch': 0.47}
{'loss': 1.0638, 'learning_rate': 1.914049670681646e-05, 'epoch': 0.48}
{'loss': 1.0206, 'learning_rate': 1.912967490367528e-05, 'epoch': 0.48}
{'loss': 1.0213, 'learning_rate': 1.9118788497188815e-05, 'epoch': 0.48}
{'loss': 1.0162, 'learning_rate': 1.9107837564391376e-05, 'epoch': 0.48}
{'loss': 1.0368, 'learning_rate': 1.9096822182773887e-05, 'epoch': 0.49}
{'loss': 1.1057, 'learning_rate': 1.9085742430283322e-05, 'epoch': 0.49}
{'loss': 1.0345, 'learning_rate': 1.907459838532215e-05, 'epoch': 0.49}
{'loss': 1.1456, 'learning_rate': 1.9063390126747778e-05, 'epoch': 0.49}
{'loss': 1.0904, 'learning_rate': 1.9052117733872025e-05, 'epoch': 0.5}
{'loss': 1.0974, 'learning_rate': 1.904078128646052e-05, 'epoch': 0.5}
{'loss': 1.1709, 'learning_rate': 1.902938086473215e-05, 'epoch': 0.5}
{'loss': 1.0666, 'learning_rate': 1.901791654935852e-05, 'epoch': 0.5}
